Name,Developer ID,Scraped Playstore App Name,Scraped Playstore App Link,Scraped Google Developer ID
Coders quiz,nan,C++ Quiz,https://play.google.com/store/apps/details?id=io.cpp.quizapp,Breaking Apps
manu act,Manupatra,Companies Act 2013 & Rules,https://play.google.com/store/apps/details?id=com.rachittechnology.companiesactmadeeasy,Rachit Technology
neet info,Vidhya..,Memo Neet: Line by Line NCERT,https://play.google.com/store/apps/details?id=com.adithya.memoneet,MemoApps
Helium Grant Bot,Harsha S Warrier,Helium HNT Wallet,https://play.google.com/store/apps/details?id=com.helium.wallet.app,Helium Systems Inc
Cool English Taiwan lesson,Cool English,Duolingo: Language Lessons,https://play.google.com/store/apps/details?id=com.duolingo,Duolingo
IIT Bhubaneswar Internship program,nan,bluelearn: Find Internships,https://play.google.com/store/apps/details?id=com.bluelearn,Bluelearn
Stephen Hawking's Life,nan,Stephen Hawking Quotes,https://play.google.com/store/apps/details?id=com.solarstellar.stephenhawkingquotes,SolarStellar
chef Connie,chef Connie,CHEF iQ,https://play.google.com/store/apps/details?id=com.chefman.chefiq.prod,CHEF iQ
Legendary quiz,AJ,Logo Quiz,https://play.google.com/store/apps/details?id=logos.quiz.companies.game,bubble quiz games
Football League,nan,Football League 2024,https://play.google.com/store/apps/details?id=com.football.soccer.league,MOBILE SOCCER
Mangapidea Quiz,nan,-,-,-
Flames The Matchmaker,nan,Kitty Powers' Matchmaker,https://play.google.com/store/apps/details?id=com.magicnotion.kpmatchmaker,Magic Notion Ltd.
One Piece Quiz,Prince Mittal,ONE PIECE Bounty Rush,https://play.google.com/store/apps/details?id=com.bandainamcoent.opbrww,Bandai Namco Entertainment Inc.
Fortnite Challenger,nan,Companion for Fortnite,https://play.google.com/store/apps/details?id=com.app.companion.fortnite,GD Games & Apps
computers quiz game from sikandar,sagen inc,Computer Quiz It,https://play.google.com/store/apps/details?id=it.computer_science.trivia_quiz,Abdelaziz Sebrou
Christiano Ronaldo Biography,WROFF,Cristiano Ronaldo Call & Chat,https://play.google.com/store/apps/details?id=com.prankcallvideovoice.ronaldofakecall,Entertainment Plaza
Darts Scoreboard,nan,Darts Scoreboard,https://play.google.com/store/apps/details?id=andrewgilman.dartsscoreboard,Andy Pandy
Last Page Movies,Nikhil Mulchandani,Fawesome - Movies & TV Shows,https://play.google.com/store/apps/details?id=com.future.moviesByFawesomeAndroidTV,Future Today Inc
Prof. Game of Thrones,nan,Reigns: Game of Thrones,https://play.google.com/store/apps/details?id=com.devolver.reignsGot,DevolverDigital
Interstellar quiz,nan,TRIVIA STAR Quiz Games Offline,https://play.google.com/store/apps/details?id=com.trivia.star.android,Super Lucky Games LLC
Test my sportx,mukul,365Scores: Live Scores & News,https://play.google.com/store/apps/details?id=com.scores365,365Scores LTD
Q Trivia,AS COMPANY,Trivia Crack,https://play.google.com/store/apps/details?id=com.etermax.preguntados.lite,etermax
Mr. trait,cg47,Mr. Pain,https://play.google.com/store/apps/details?id=wc.welcomecenter.mrpain,Sunday.gg
Robbie Quiz,Duck Apartment,Soccer Fan Quiz,https://play.google.com/store/apps/details?id=com.soccerfanquiz.soccerfanquiz,Robbie Elias
Tech Skills Quiz,Abhishek Kumar,Tech Quiz Master - Quiz Games,https://play.google.com/store/apps/details?id=com.eggies.techquizmaster,Eggies
Unbelievable India,nan,Incredible India,https://play.google.com/store/apps/details?id=org.incredibleindia,Ministry of Tourism
Bit Jam,Loop Inc.,Block Jam 3D,https://play.google.com/store/apps/details?id=com.partyup.blockjam,VOODOO
IPL POP QUIZ,Rohan Ghosh,IPL Quiz,https://play.google.com/store/apps/details?id=com.rdquiz.iplquiz,100 Quiz
Super car,Bhanu Sharma,-,-,-
Bollywood Game Show,Sunidhi gupta,Bollywood Movies Guess - Quiz,https://play.google.com/store/apps/details?id=com.mujaffars.bollywoodkaboss,MjCreations
facts about buddha,shashwat raj,Motivation Daily Buddha Quotes,https://play.google.com/store/apps/details?id=com.gvapps.buddhaquotes,GV apps
Cric Trivia,Mihir Jagad,Trivia Crack,https://play.google.com/store/apps/details?id=com.etermax.preguntados.lite,etermax
Cricket Exam,nan,Cricket League,https://play.google.com/store/apps/details?id=com.miniclip.cricketleague,Miniclip.com
Silent Girl,Random Developer,SILENT HILL: Ascension,https://play.google.com/store/apps/details?id=com.genvid.shascension,Genvid Entertainment LLC
Movie Jeopardy,kkooff2000,Movie Quiz,https://play.google.com/store/apps/details?id=com.raci.moviequizandwatchlist,Certain Games
Quiz Art,Saumeen Prajapati,Art Quiz: paintings & artists,https://play.google.com/store/apps/details?id=com.ironwaterstudio.artquiz,Iron Water Studio
The Indian Military,Vaibhav Yadav,Military Academy 3D,https://play.google.com/store/apps/details?id=com.slg.MilitaryAcademy3D,CrazyLabs LTD
Let's Quizify,nan,QuizUp 2,https://play.google.com/store/apps/details?id=com.sayoo.challenge,IHSAN STUDIO
TRIVIA REVIEW,Jishnu Bala,Trivia Crack,https://play.google.com/store/apps/details?id=com.etermax.preguntados.lite,etermax
Elements Quiz,nan,General Knowledge Quiz,https://play.google.com/store/apps/details?id=com.timleg.quiz,TIMLEG
PIP Boy,PiSaucer,Fallout Pip-Boy Watch Face,https://play.google.com/store/apps/details?id=com.facer.avoStjoiE4,Facer Studios
Poket master,OYesAbhi,Pokémon Masters EX,https://play.google.com/store/apps/details?id=com.dena.a12026418,"DeNA Co., Ltd."
Secondary Storage,TeachAllAboutIT,Dropbox: Secure Cloud Storage,https://play.google.com/store/apps/details?id=com.dropbox.android,"Dropbox, Inc."
World capital trivia,Ravi Kiran Vissa,Capital Quiz - World Capitals,https://play.google.com/store/apps/details?id=com.eleFUNt.CapitalsQuizGuessCountryCapital,eleFUNt Games
Kashmir Quiz,FAIZAN MUSHTAQ,Jammu and Kashmir MCQ,https://play.google.com/store/apps/details?id=com.JammuandKashmirMCQ.JammuandKashmirMCQ,RajalakshmiRTY
Rajasthan Gk Quiz,Somesh Kumar,Rajasthan Gk quiz,https://play.google.com/store/apps/details?id=co.median.android.bwxnrq,adc.creator
Jamia Millia Islamia Quiz,Amish Gupta,Islamic Quiz,https://play.google.com/store/apps/details?id=com.logicandislam.quizapp,Prof Magd Wahab
Quiz On theVampireDiaries,nan,Quiz for The Vampire Diaries,https://play.google.com/store/apps/details?id=com.nixgames.tvdquiz,Nix Studios
motive me,Dave Priyank,MOTIV,https://play.google.com/store/apps/details?id=com.shure.motiv,Shure Incorporated
Computer Fundamentals,Vivek Thota,Learn Computer Fundamentals,https://play.google.com/store/apps/details?id=com.alphazstudio.learncomputerfundamentals,Alpha Z Studio
Dr. Iron,Ritika Bansal,Dr Iron,https://play.google.com/store/apps/details?id=com.trainerize.driron,TRAINERIZE
Heilige Spiele,Mourima Biswas,Geometry Dash Lite,https://play.google.com/store/apps/details?id=com.robtopx.geometryjumplite,RobTop Games
Flash Quizlet,nan,Quizlet: AI-powered Flashcards,https://play.google.com/store/apps/details?id=com.quizlet.quizletandroid,Quizlet Inc.
Daily Mathematics,nan,Math Tests: learn mathematics,https://play.google.com/store/apps/details?id=com.holucent.math,Eductify
Html Introduction Quiz,Akshay Methaniya,HTML Tests and Quizzes,https://play.google.com/store/apps/details?id=com.testyourself.html,createwebsites
The New Flash Cards,RAVIKIRAN DHULIPALA,FlashCards - study flash cards,https://play.google.com/store/apps/details?id=com.mutau.flashcard,mu.co
